company,address,city,state,zip code,country,room count,phone number,email
Agawam Motor Lodge,23 Suffield St,Agawam,MA,01001,us,,(413) 786-2800,
Your Love Our Touch,525 Springfield,Agawam,MA,01001,us,,(413) 306-3150,
Allen House Victorian Inn,599 Main St,Amherst,MA,01002,us,,(413) 253-5000,alan@allenhouse.com
Lord Jeffery Inn,30 Boltwood Ave,Amherst,MA,01002,us,,(413) 253-2576,gboyd@waterfordhotelgroup.com
University Lodge,345 N Pleasant St,Amherst,MA,01002,us,20,(413) 256-8111,booking@hotels.com
Amherst Inn,257 Main St,Amherst,MA,01002,us,,(413) 253-5000,allenhouse@webtv.net
Amherst Motel,408 Northampton Rd,Amherst,MA,01002,us,,(413) 256-8122,galefrench@charter.net
Black Walnut Inn,1184 N Pleasant St,Amherst,MA,01002,us,,(413) 549-5649,danb@blackwalnutinn.com
Delta Organic Farm Bed and Breakfast,352 E Hadley Rd,Amherst,MA,01002,us,,(413) 253-1893,delta@amherstonline.com
Horace Kellogg Homestead Bed & Breakfast,459 S Pleasant St,Amherst,MA,01002,us,,(888) 271-2681,
Emily's Amherst Bed & Breakfast,71 N Prospect St,Amherst,MA,01002,us,,(413) 549-0733,
Birdsong Bed & Breakfast of Amherst,815 S East St,Amherst,MA,01002,us,,(413) 256-0433,birdsongbb@comcast.net
Purple Gables Bed & Breakfast,232 E Pleasant St,Amherst,MA,01002,us,,(413) 549-0705,innkeeper@purplegables.com
Hop Brook Bed & Breakfast,15 Hop Brook Rd,Amherst,MA,01002,us,,(413) 253-1448,
Stone House Farm,649 E Pleasant St,Amherst,MA,01002,us,,(413) 549-4455,
Home,57 Berkshire Ter,Amherst,MA,01002,us,,(413) 230-3014,
Birches Bed & Breakfast,236 Middle St,Amherst,MA,01002,us,,(413) 256-6257,
1886 Todd House,90 Spring St,Amherst,MA,01002,us,,(888) 271-2681,
Hampshire Hospitality Group,345 N Pleasant St,Amherst,MA,01002,us,,(413) 256-8111,
Lappas Basketball Camp,27 Summerfield Rd,Amherst,MA,01002,us,,(413) 259-9107,
Lincoln Campus Center,1 Campus Center Way,Amherst,MA,01003,us,,(413) 577-8200,
Campus Center Hotel,1 Campus Center Way,Amherst,MA,01003,us,116,(413) 549-6000,info@umasshotel.com
Umass Catering,1 Campus Center Way,Amherst,MA,01003,us,,(877) 822-2110,
Umass Hotel And Conference Center,1 Campus Center Way,Amherst,MA,01003,us,,(413) 549-6000,hotel@umass.edu
Wholesome Hearth - A Bed and Breakfast Home,100 Pleasant St,Barre,MA,01005,us,,(978) 355-6543,
Stevens Richard H & Irene,749 Old Coldbrook Rd,Barre,MA,01005,us,,(978) 355-2227,
Stevens Farm Bed & Breakfast,749 Old Coldbrook Rd,Barre,MA,01005,us,,(978) 355-2227,
Vernon Lodge of Masons,1 Main St,Belchertown,MA,01007,us,,(413) 323-1052,
The Mucky Duck Bed and Breakfast,38 Park St,Belchertown,MA,01007,us,,(413) 323-9657,
Carriage Towne Bed & Breakfast,17 Main St,Belchertown,MA,01007,us,,(413) 323-0289,
Ingate Farms Bed & Breakrast,60 Lamson Ave,Belchertown,MA,01007,us,,(888) 464-2832,
Blandford Ski Area,41 Nye Brook Rd,Blandford,MA,01008,us,,(413) 848-2860,
Baird Tavern,2 Old Chester Rd,Blandford,MA,01008,us,,(413) 848-2096,
White Coach Motel,309 Sturbridge Rd,Brimfield,MA,01010,us,,(413) 245-9021,whitecoachmotel@yahoo.com
Yankee Cricket Bed and Breakfast,106 Five Bridge Rd,Brimfield,MA,01010,us,,(413) 245-0030,
Penuel Parker B&B,30 Haynes Hill Rd,Brimfield,MA,01010,us,,(413) 245-9204,
Nathan Goodale House B&B,11 Warren Rd,Brimfield,MA,01010,us,,(413) 245-9228,
Rolling Hills Resort,1 Warren Rd,Brimfield,MA,01010,us,,(413) 245-3900,
MGM Resorts International,1 Warren Rd,Brimfield,MA,01010,us,,(413) 245-1500,
The J.C. Spring House,51 W Old Sturbridge Rd,Brimfield,MA,01010,us,,(413) 245-1062,
Swallow Hill Bed and Breakfast,178 Bryant St,Chesterfield,MA,01012,us,,(413) 296-8058,
The Seven Hearths Bed & Breakfast,412 Main Rd,Chesterfield,MA,01012,us,,(413) 296-4312,
Inn Nature,261 South St,Chesterfield,MA,01012,us,2,(413) 296-9201,
Elks Lodge,431 Granby Rd,Chicopee,MA,01013,us,,(413) 592-1849,scholarship@elks.org
Chicopee Lodging House,288 Front St,Chicopee,MA,01013,us,,(413) 592-7101,
Hampton Inn Chicopee,600 Memorial Dr,Chicopee,MA,01020,us,90,(413) 593-1500,
Motel 6 Springfield Chicopee,36 Johnny Cake Hollow Rd,Chicopee,MA,01020,us,,(413) 592-5141,
Days Inn Springfield/Chicopee MA,450 Memorial Dr,Chicopee,MA,01020,us,100,(413) 739-7311,daysinnchicopee@bk-investments.com
Econo Lodge,357 Burnett Rd,Chicopee,MA,01020,us,115,(413) 592-9101,ihelp@choicehotels.com
Quality Inn,463 Memorial Dr,Chicopee,MA,01020,us,100,(413) 592-6171,ihelp@choicehotels.com
Residence Inn Springfield Chicopee,500 Memorial Dr,Chicopee,MA,01020,us,115,(413) 331-4440,
Pines Motel,1508 Memorial Dr,Chicopee,MA,01020,us,,(413) 533-2776,roberta@thepinesmotel.com
Plantation Inn Of New England,295 Burnett Rd,Chicopee,MA,01020,us,184,(413) 592-8200,plantationinn@aol.com
Hampton Inn Chicopee/Springfield,600 Memorial Dr,Chicopee,MA,01020,us,,(413) 593-1500,
Residence Inn Chicopee Marriott,500 Memorial Dr,Chicopee,MA,01020,us,,(855) 297-1431,
Super 8 Motel,463 Memorial Dr,Chicopee,MA,01020,us,,(413) 592-6171,
Econo Lodge,463 Memorial Dr,Chicopee,MA,01020,us,,(413) 592-6171,
Days Inn Chicopee,450 Memorial Dr,Chicopee,MA,01020,us,,(413) 739-7311,
Flyers Inn,650 Airlift Dr,Chicopee,MA,01022,us,,(413) 593-5421,
United States Government Main Bx,660 Airlift Dr,Chicopee,MA,01022,us,,(413) 593-5421,
Westover Air Force Inns,650 Airlift Dr,Chicopee,MA,01022,us,,(413) 593-5421,423fss.rao@us.af.mil
Cumworth Farm,472 W Cummington Rd,Cummington,MA,01026,us,,(413) 634-5529,
Shire Village Camp,36 Mellor Rd,Cummington,MA,01026,us,,(413) 634-2281,
Remington Lodge,21 W Main St,Cummington,MA,01026,us,,(413) 634-5493,
Park Street Bed & Breakfast,238 Park St,Easthampton,MA,01027,us,,(413) 527-7861,sue_lehman@hotmail.com
Megan Camp,181 Northampton St,Easthampton,MA,01027,us,,(413) 527-7730,
McKinley House Bed and Breakfast,3 McKinley Ave,Easthampton,MA,01027,us,,(413) 527-5116,
Elsie's Motel,280 N Main St,East Longmeadow,MA,01028,us,,(413) 525-5248,
Camp Bonnie Brae,Algerie Rd,East Otis,MA,01029,us,,(413) 269-4481,
Lakeside Estates Bed & Breakfast,99 Kibbe Rd,Otis,MA,01029,us,,(413) 269-9900,
Berkshire Soccer Academy,620 Reservoir Rd,East Otis,MA,01029,us,,(413) 269-6080,
Windsor Hotel,6 Hardwick Rd,Gilbertville,MA,01031,us,,(413) 477-0933,
Granby Motel,5 W State St,Granby,MA,01033,us,,(413) 467-9256,
The White Rose Bed and Breakfast,670 Amherst Rd,Granby,MA,01033,us,,(413) 575-3168,
Muddy Brook Farm,81 East St,Granby,MA,01033,us,,(413) 467-3931,
Rest-A-Lot Lodge,10 Mill Ln,Granby,MA,01033,us,,(413) 467-9445,
An Old Indian Trail Bed and Breakfast,664 Amherst Rd,Granby,MA,01033,us,,(413) 467-3528,
Rest-Alot-Lodge,137 Batchelor St,Granby,MA,01033,us,,(413) 467-9445,
Camp Kinderland,1543 Colebrook River Rd,Granville,MA,01034,us,,(413) 258-4463,huey4@kinderland.org
Maple Corner Farm Cross Country Ski Center,794 Beech Hill Rd,Granville,MA,01034,us,,(413) 357-6697,
Lakefront Chalet,462 E Otis Rd,Tolland,MA,01034,us,,(917) 533-4206,
Camp Kinderland,Colebrook River Rd,Tolland,MA,01034,us,,(413) 258-4463,huey4@kinderland.org
Holiday Inn Express & Suites Amherst-Hadley,400 Russell St,Hadley,MA,01035,us,100,(413) 582-0002,seastrand_d@yahoo.com
Howard Johnson Express Inn - Amherst Hadley,401 Russell St,Hadley,MA,01035,us,100,(413) 586-0114,
Econo Lodge,329 Russell St,Hadley,MA,01035,us,63,(413) 582-7077,ihelp@choicehotels.com
Courtyard Hadley Amherst,423 Russell St,Hadley,MA,01035,us,96,(413) 256-5454,
Comfort Inn,237 Russell St,Hadley,MA,01035,us,86,(413) 584-9816,ihelp@choicehotels.com
Hampton Inn Hadley-Amherst Area,24 Bay Rd,Hadley,MA,01035,us,73,(413) 586-4851,
Knights Inn Hadley,208 Russell St,Hadley,MA,01035,us,21,(413) 585-1552,johnsmith@email.com
Hampton Inn Hadley,24 Bay Rd,Hadley,MA,01035,us,,(413) 586-4851,
Ivory Creek Bed and Breakfast,31 Chmura Rd,Hadley,MA,01035,us,6,(413) 587-3115,pachaderm@aol.com
Hotel Courtyard by Marriott Hadley Amherst,423 Russell St,Hadley,MA,01035,us,,(877) 662-6988,
Howard Johnson Express Inn,401 Russell St,Hadley,MA,01035,us,,(888) 271-2681,
Econo Lodge,237 Russell St,Hadley,MA,01035,us,,(413) 586-0715,
Hadley Meadow Bed and Breakfast,113 Rocky Hill Rd,Hadley,MA,01035,us,,(413) 549-1937,
Norwottuck Hadley Inn,208 Russell St,Hadley,MA,01035,us,,(413) 585-1552,
Norwottuck Hadley Inn Hotel,208 Russell St,Hadley,MA,01035,us,,(413) 587-9866,
Hadley Inn,208 Russell St,Hadley,MA,01035,us,,(413) 587-9866,
The Old Mill Inn,87 School St,Hatfield,MA,01038,us,9,(413) 247-3301,oldmillcabins@yahoo.com
Old Mill on the Falls B&B,87 School St,Hatfield,MA,01038,us,9,(413) 247-3301,
Penrose Victorian Inn,133 Main St,Haydenville,MA,01039,us,,(413) 268-7711,zimmer@penroseinn.com
Country Song & Dance Camp,132 Main St,Haydenville,MA,01039,us,,(413) 268-7426,
Holyoke Country Club,1 Country Club Rd,Holyoke,MA,01040,us,,(413) 533-2100,
Homewood Suites by Hilton Holyoke-Springfield/North,375 Whitney Ave,Holyoke,MA,01040,us,114,(413) 532-3100,web.accessibility@hilton.com
Yankee Pedlar Inn,1866 Northampton St,Holyoke,MA,01040,us,,(413) 532-9494,info@yankeepedlarinn.com
Holyoke Hotel & Conference Center,245 Whiting Farms Rd,Holyoke,MA,01040,us,205,(413) 534-3311,
Holiday Inn,245 Whiting Farms Rd,Holyoke,MA,01040,us,,(413) 534-3311,
Howard Johnson Holyoke/Springfield,247 Whiting Farms Rd,Holyoke,MA,01040,us,,(413) 535-3000,
Days Inn Holyoke,1515 Northampton St,Holyoke,MA,01040,us,50,(413) 536-1980,
Budget Inn,579 Northampton St,Holyoke,MA,01040,us,,(413) 534-1158,budgetinngroup@gmail.com
Super 8 Motel,1515 Northampton St,Holyoke,MA,01040,us,,(413) 536-1980,
Americas Best Value Inn,671 Northampton St,Holyoke,MA,01040,us,17,(413) 536-3377,
D. Hotel & Suites,1 Country Club Rd,Holyoke,MA,01040,us,62,(413) 533-2100,
